word	frequency
bir</w>	9551
ki</w>	7304
i</w>	5312
də</w>	5249
m	4939
a</w>	4583
dedi</w>	4568
da</w>	4430
bu</w>	4369
s	4160
ı</w>	4147
ç	4035
n	3705
t	3655
b	3547
k	3474
ə</w>	3372
in</w>	3358
ın</w>	3343
c	3319
</w>	3179
nə</w>	3173
-	3119
di</w>	2943
ş	2925
y	2915
dən</w>	2900
p	2852
i	2766
o</w>	2723
dı</w>	2691
dan</w>	2684
sən</w>	2661
r	2654
l	2593
h	2464
v	2403
q	2346
əl	2317
x	2284
mə	2284
d	2276
an	2247
də	2232
at	2224
mən</w>	2205
z	2196
ar	2151
a	2142
ıb</w>	2099
f	2071
u	2069
gördü</w>	2062
an</w>	2044
ay	1911
lar</w>	1831
in	1829
ir</w>	1817
ir	1801
al	1792
da	1729
ər	1688
lə	1678
ına</w>	1649
r</w>	1644
padşah</w>	1614
ə	1612
ib</w>	1596
ını</w>	1596
qız</w>	1593
la	1578
ır	1572
ət	1563
ağ	1547
inə</w>	1547
sə	1514
ır</w>	1483
elə</w>	1476
ının</w>	1462
var</w>	1457
m</w>	1451
ini</w>	1447
kimi</w>	1447
baş	1441
ba	1436
di	1414
gün</w>	1395
iş	1389
ən	1389
u</w>	1384
k</w>	1345
lər</w>	1340
o	1312
gəldi</w>	1296
bi	1286
ur	1280
ı	1258
e	1256
d</w>	1252
as	1240
gəl	1222
un</w>	1220
gəlib</w>	1215
ol	1213
ü	1199
nən</w>	1196
ye	1194
ver	1192
dər	1192
g	1191
sonra</w>	1169
im</w>	1164
ları</w>	1162
ıl	1152
am</w>	1142
ım</w>	1142
az</w>	1140
dılar</w>	1140
il	1132
hər</w>	1119
qız	1111
du</w>	1107
qa	1105
san</w>	1099
əm	1090
tap	1083
ar</w>	1082
nə	1077
am	1060
ad	1059
oğlan</w>	1042
mənim</w>	1040
ında</w>	1037
ğ	1035
dey	1032
çıx	1027
qal	1024
im	1022
bağ	1011
aq</w>	1011
aq	1004
bir	1002
keç	998
iy	992
dilər</w>	991
gün	978
lar	977
n</w>	977
ay</w>	973
getdi</w>	968
oldu</w>	950
uş	945
t</w>	945
qoy	944
ac	936
heç</w>	930
ö	929
z</w>	928
dü</w>	918
or	905
irdi</w>	904
anı</w>	904
lə</w>	892
qızı</w>	891
qədər</w>	884
ş</w>	880
at</w>	871
hə	869
onu</w>	867
xanım</w>	867
qar	866
ü</w>	862
çox</w>	860
l</w>	860
nan</w>	854
vəzir</w>	852
li	845
de	844
idi</w>	843
gətir	841
dü	836
gör	826
yanına</w>	826
rə	824
anın</w>	823
öz</w>	822
dim</w>	820
əy	819
unu</w>	817
ək	811
ox	810
ından</w>	807
ün	795
padşahın</w>	795
ev	793
sü	789
elədi</w>	785
göz	779
tu	778
onun</w>	775
yan	770
gü	770
elə	768
məni</w>	767
ax	760
un	760
verdi</w>	757
biri</w>	755
lər	754
ər</w>	754
kü	746
ah	739
ona</w>	735
mü	734
ov	727
ham	725
olm	722
aş	721
iç	719
əh	715
inin</w>	714
aç	714
gedib</w>	712
sin</w>	707
ım	706
ların</w>	705
on	702
lan	702
əs	701
mən	699
yə</w>	699
üb</w>	696
du	693
st	692
ya	690
indən</w>	689
yerə</w>	686
sənin</w>	684
tə	682
q</w>	682
bu	680
dir	677
götürüb</w>	675
ləri</w>	674
get	672
aya</w>	672
yol	671
əz	669
amma</w>	668
yer	667
üzü	665
düş	664
gedə	661
ət</w>	658
lay	658
ma</w>	658
saat</w>	658
sənə</w>	655
şah</w>	653
bil	652
düşdü</w>	652
ul	651
qır	648
yat	646
la</w>	646
daş	644
xəbər</w>	644
li</w>	644
var	641
ırdı</w>	641
çıxdı</w>	635
i-	635
oğl	635
ap	634
tez</w>	632
ın	629
mənə</w>	624
çək	620
mə</w>	619
uz	616
ində</w>	616
f</w>	616
bı</w>	616
səni</w>	616
qur	610
qardaş	607
əm</w>	606
dır	606
dan	606
iki</w>	602
rəm</w>	601
məlik</w>	601
yib</w>	597
bax	592
məyə</w>	591
mağa</w>	589
mədi</w>	589
brahim</w>	588
olsun</w>	587
öldür	586
az	583
ilə</w>	581
oğlan	581
ana</w>	580
ıq</w>	579
eş	578
kəs	578
belə</w>	575
mək</w>	575
kişi</w>	573
ndi</w>	565
ış	565
sa	565
iz	562
xan	560
il</w>	559
istəy	559
ge	559
əri</w>	559
başladı</w>	553
din</w>	553
sən	552
apar	549
dar	547
çıxar	547
ən</w>	545
bac	543
qayı	539
özü</w>	538
ey</w>	536
lı</w>	528
adam	525
oğlu</w>	524
it	521
arvad</w>	520
ub</w>	519
indi</w>	516
tərəf	516
bun	515
qə	515
yenə</w>	511
qo	511
una</w>	511
kim	510
qılınc	510
sa</w>	509
ün</w>	504
yet	503
alt	503
quy	502
ağı</w>	501
unun</w>	501
irəm</w>	499
məhəmməd</w>	498
gedi	496
ur</w>	495
qarı</w>	495
ək</w>	491
gül	490
ağac	489
gö	486
bur	485
is	484
əl</w>	483
başına</w>	481
gözü	481
qızın</w>	480
gələ	478
ığ	477
sə</w>	477
qardaş</w>	477
üç</w>	476
olub</w>	476
adam</w>	475
bilmə	473
dağ	471
özünü</w>	470
durub</w>	470
çat	468
qaç	467
gəl</w>	467
göy	466
ik</w>	465
gərək</w>	465
yar	465
şəhər	465
gir	464
görü	464
dım</w>	463
iz</w>	463
ot	463
ey	462
eləy	461
kö	460
ib	459
ik	458
ız</w>	458
biz	457
ür	457
özü	455
burda</w>	454
irsən</w>	450
oy	450
öl	449
və</w>	447
gecə</w>	446
qaz	445
deyir</w>	441
dur	440
dərviş</w>	439
sın</w>	438
sal	436
bunu</w>	435
əc	433
ya</w>	432
tut	428
yoxdu</w>	426
uy	426
dular</w>	423
vur	422
çıxıb</w>	422
dün	422
ıy	419
dəy	417
özünə</w>	417
keçəl</w>	417
cə</w>	414
yox</w>	413
man</w>	413
ad</w>	410
əhməd</w>	410
qara</w>	408
get</w>	408
dir</w>	407
ax</w>	403
yu	403
bər	402
yux	402
otur	401
van</w>	401
öy	399
tdı</w>	397
gəlir</w>	396
qoydu</w>	396
ladı</w>	395
alıb</w>	393
yola</w>	392
qon	392
böyük</w>	391
aldı</w>	388
əndə</w>	387
oğ	384
arvad	384
ləş	384
kən	382
lən	382
qırx</w>	382
ləy	378
hər	378
su</w>	377
söy	374
ısı</w>	373
brahim	373
yey	372
tü	371
maq</w>	371
vəzir	371
yaxşı</w>	368
al</w>	367
qorx	365
gəz	365
baxıb</w>	364
qap	364
be	363
neçə</w>	363
quş	363
ıdı</w>	360
diy	358
ada</w>	358
iş</w>	357
eşi	356
razı</w>	353
xanım	353
ndə</w>	352
har	352
um</w>	352
ıq	351
dev</w>	348
a-	346
qabağına</w>	345
yü	345
axırda</w>	345
yol</w>	343
qu	343
yığ	343
sin	342
lara</w>	342
va	342
göndər	342
qalx	341
layıb</w>	339
qı	339
sö	338
əng	337
kim</w>	337
sar	336
ağz	333
bar	333
qurtar	332
anda</w>	332
ndən</w>	332
danış	332
ta</w>	329
yeddi</w>	329
ız	328
evə</w>	327
baş</w>	326
lu	326
siz	326
gec	326
mışdı</w>	325
üç	325
ələ	324
səhər</w>	324
ağa</w>	323
b</w>	322
ıs	322
miş</w>	321
si</w>	321
dəm	321
məy	320
sağ</w>	319
kə	319
qızıl</w>	318
şü	317
öz	316
atı</w>	316
miş	315
ri</w>	315
üçün</w>	314
dığ	314
uya</w>	314
şah	314
xörə	314
dur</w>	313
çörə	312
yox	311
qul	311
bəli</w>	311
dev	311
dal	311
lərin</w>	310
qoş	310
bütün</w>	309
tutub</w>	308
eləyib</w>	308
udan</w>	307
larını</w>	306
niyə</w>	306
sın	306
verib</w>	305
həmin</w>	305
adı</w>	305
məm	305
dıb</w>	304
adan</w>	303
gördü	303
əni</w>	303
ür</w>	301
may	301
ıl</w>	301
mişdi</w>	299
ası</w>	299
bas	299
sora</w>	298
bunun</w>	298
haz	298
paçcah</w>	298
dır</w>	297
atın</w>	296
ilan</w>	295
lərinə</w>	295
qabağ	294
bilm	294
başını</w>	294
quş</w>	293
çağır	293
zü	292
ərsən</w>	292
bə	291
tik	290
ıldı</w>	290
ağına</w>	288
atdı</w>	288
lan</w>	288
düz</w>	287
sax	287
fik	286
onda</w>	286
gey	285
əhvalatı</w>	283
dö	283
ara</w>	283
üst	283
əmr</w>	283
mey	282
atas	282
bunlar</w>	281
lərini</w>	281
gördülər</w>	280
yaş	280
ver</w>	278
mər	277
üz	277
dər</w>	277
um	276
giz	276
sev	276
meş	276
necə</w>	275
ata</w>	275
qoca</w>	275
ıx</w>	274
si	274
çəkib</w>	273
qaldı</w>	273
mişəm</w>	273
əgər</w>	272
pəhlə	272
yava	271
əsən</w>	270
qan	270
padi	270
boyn	270
paçcah	270
lıq</w>	269
laş	268
paltar	268
saldı</w>	268
biz</w>	267
baxdı</w>	267
şey	267
yaz	267
dülər</w>	266
xey	266
dəfə</w>	266
p</w>	265
qay	265
getdilər</w>	264
dən	264
qoyub</w>	264
ənin</w>	264
madı</w>	263
bəs</w>	263
lədi</w>	262
əli</w>	261
mış</w>	261
iyə</w>	260
padşaha</w>	260
ağ</w>	260
gətirdi</w>	259
içəri</w>	258
ıb	257
ah</w>	257
dadı</w>	257
yi</w>	257
mış	256
do	256
tacir</w>	256
əsi</w>	255
verim</w>	255
ımı</w>	254
et	254
tö	254
kiş	253
əyəm</w>	253
şəhərə</w>	253
lığ	252
sir	252
bir-	251
ıma</w>	251
görüm</w>	251
sür	249
ısını</w>	249
mağ	249
həmən</w>	248
de</w>	247
baz	247
düşüb</w>	246
padşah	246
nü</w>	245
üstünə</w>	245
isi</w>	245
istədi</w>	244
şir	243
kə</w>	243
ılıb</w>	243
yerdə</w>	243
pər	243
parç	242
yas	242
div	242
abbas	241
daha</w>	240
gəldilər</w>	239
mək	239
ha	239
açıb</w>	239
ha</w>	239
ınnan</w>	238
ley	238
tax	237
lac	235
götür	235
ceyr	235
ca	235
dıq</w>	234
dar</w>	234
əj	234
gedir	233
soruşdu</w>	233
dı	233
gözəl</w>	233
ıya</w>	233
girdi</w>	233
durdu</w>	232
tor	232
ızı</w>	232
sim	232
ör	231
nuş	231
deyil</w>	230
irlər</w>	229
başı</w>	229
allah</w>	229
ələ</w>	228
bura</w>	228
lap</w>	227
dön	227
liy	227
məli	227
əhmə	227
qara	227
qol	226
təp	226
eh	226
cavab</w>	225
ab	225
xəb	225
yanında</w>	224
ort	224
san	224
yax	224
fikir	224
axşam</w>	222
vəzirin</w>	222
şəm	222
şey</w>	221
on</w>	221
ols	221
əb	221
tülkü</w>	220
imar	220
s</w>	220
div</w>	219
üstə</w>	218
oturub</w>	218
ip</w>	218
vaxt</w>	218
ləm</w>	218
axtar	217
olan</w>	217
ancaq</w>	216
odu</w>	216
alm	216
oğul</w>	215
cək</w>	215
ərə</w>	214
st</w>	213
vardı</w>	213
üstündə</w>	213
birdən</w>	213
görən</w>	212
evinə</w>	212
skən	212
siman</w>	211
ayr	210
qər	210
x</w>	210
buna</w>	210
qula	210
öldü	209
qoşun</w>	209
sabah</w>	209
çatdı</w>	208
siz</w>	208
dib</w>	208
dayan	207
uz</w>	207
verə	206
dərviş	206
söz</w>	206
tər	205
vax	205
isə</w>	205
ul</w>	205
cü	205
van	205
bil</w>	203
şahza	203
aman</w>	202
sor	202
hey	202
ədə</w>	202
arvadı</w>	202
vurdu</w>	201
ıp</w>	201
dedilər</w>	201
larına</w>	200
dırıb</w>	200
ünü</w>	200
allah	200
çağırıb</w>	200
dolan	200
çar	199
keçdi</w>	199
olar</w>	198
oş	198
dik	198
ədən</w>	198
mi</w>	198
ist	197
deyib</w>	197
üz</w>	197
çağ	197
anası</w>	196
hara</w>	195
yü</w>	195
apardı</w>	195
fir	195
ig	195
əyə</w>	194
tan</w>	194
ondan</w>	193
ağam</w>	193
nağ	193
götürdü</w>	193
şər	192
ə-	192
genə</w>	192
udu</w>	191
çoban</w>	191
minib</w>	191
padşahının</w>	191
pəri</w>	191
uşdu</w>	190
can	190
anas	189
qalaç	188
öh	188
ca</w>	187
yana</w>	186
rəm	186
əcək</w>	186
onlar</w>	186
əvv	186
tök	186
laz	186
tamam</w>	186
məhəm	186
arv	186
söz	185
uş</w>	185
qat	185
bəxt	185
bağa</w>	185
ül	184
salıb</w>	184
başladılar</w>	184
getməyə</w>	183
döv	183
mal	182
to	182
düz	182
arı</w>	182
kağ	182
doğr	181
ol</w>	181
aparıb</w>	181
ürəy	181
qıza</w>	181
yerinə</w>	180
ayağa</w>	180
qapını</w>	180
undan</w>	180
ke	180
xal	180
tacir	180
ıynan</w>	180
müş	179
görüb</w>	179
tan	179
qa</w>	179
axır	179
sala	179
ğa</w>	179
padşahı</w>	179
tərəfdən</w>	178
ölü	178
cama	178
gətirib</w>	178
lət	178
içində</w>	178
özün</w>	178
burax	178
imi</w>	177
qızını</w>	177
ney	177
kiçik</w>	177
tilsim	177
yaxş	176
bilmədi</w>	176
gə	176
ök	175
ra	175
əlac	175
diyi</w>	175
çu</w>	175
görə</w>	174
mu	174
bır	174
ıram</w>	174
hat	174
toy</w>	173
suy	173
qapı	172
ərəm</w>	172
çəkdi</w>	172
ilan	172
mələk</w>	172
görək</w>	171
inci</w>	171
ış</w>	171
ub	171
məd</w>	171
buy	170
elədilər</w>	170
bala</w>	170
xanımın</w>	170
vurub</w>	169
olac	169
mət	169
gətirdilər</w>	169
h</w>	169
yıx	169
daş</w>	169
oyn	168
anc	166
ada	165
ban</w>	165
ıx	164
ınc	159
lınc	158
ürə	154
istə	151
tam	151
min	150
gət	140
inc	135
toy	134
te	134
ço	130
tı</w>	126
tar	121
üstün	117
əv	112
bü	109
eçə</w>	109
böyü	108
tül	107
raz	106
fə</w>	105
əf	105
gər</w>	105
kü</w>	100
əhvala	97
cam	95
pəh	94
götü	93
gər	92
xt	92
axş	89
ox</w>	86
alla	85
öyü	84
mələ	84
par	76
doğ	76
eyr	75
ladılar</w>	74
saba	73
vəz	70
əhər	69
eç	66
tac	65
cah	65
həm	57
j	53
br	50
gön	49
til	47
ne	41
bəs	35
qala	33
vala	33
yed	32
cava	29
pa	28
üstü	28
ra</w>	27
arva	27
za	27
qor	25
ve	24
pal	20
son	17
kiç	17
heç	8
örə	7
tün</w>	7
paç	5
w	2
brah	2
pad	1
